employee_id,first_name,last_name,email,grade,manager_id
E1001,Vivaan,Sharma,vivaan.sharma@company.com,G5,E1022
E1002,Kavya,Gupta,kavya.gupta2@company.com,G4,E1022
E1003,Aarav,Patel,aarav.patel@company.com,G4,E1022
E1004,Isha,Verma,isha.verma@company.com,G3,E1022
E1005,Aditya,Nair,aditya.nair@company.com,G3,E1022
E1006,Saanvi,Gupta,saanvi.gupta@company.com,G2,E1022
E1007,Arjun,Singh,arjun.singh@company.com,G2,E1022
E1008,Kavya,Kumar,kavya.kumar@company.com,G2,E1022
E1009,Ananya,Reddy,ananya.reddy@company.com,G1,E1022
E1010,Vihaan,Agarwal,vihaan.agarwal@company.com,G1,E1022
E1011,Rohan,Malik,rohan.malik@company.com,G3,E1022
E1012,Zara,Khan,zara.khan@company.com,G4,E1022
E1013,Kabir,Rao,kabir.rao@company.com,G2,E1022
E1014,Myra,Jain,myra.jain@company.com,G1,E1022
E1015,Leo,Das,leo.das@company.com,G5,E1022
E1016,Priya,Sen,priya.sen@company.com,G3,E1022
E1017,Ishaan,Bose,ishaan.bose@company.com,G2,E1022
E1018,Anika,Shah,anika.shah@company.com,G1,E1022
E1019,Dev,Mehra,dev.mehra@company.com,G4,E1022
E1020,Tara,Alia,tara.alia@company.com,G2,E1022
E1021,Diya,Mehta,diya.mehta@company.com,G4,E1022
E1022,Chaitra,KC,chaitra.kc@deltacapita.com,G1,E1022
